date,amount,cost_per_gram
2024-04-04T16:13:00.634,0.08,22.2,2aee3e5a-078d-4820-845c-c1fc22517a66
2024-04-04T16:27:38.352,0.08,22.2,9c1ce86f-93f8-430a-99f2-539e25184dc1
2024-04-04T16:46:14.774,0.08,22.2,0155b65f-6e4e-4644-ba7f-604dabc42d13
2024-04-04T18:54:46.061,0.08,22.2,5bc28e59-89d3-438c-93ef-0b7eb4444e26
2024-04-04T19:07:32.289,0.08,22.2,d538c777-bd75-4dbc-a2ec-e6af6ec9000c
2024-04-04T19:58:25.398,0.08,22.2,13ebc751-99e1-4b6d-813c-a1991a615447
2024-04-04T20:21:32.072,0.08,22.2,cea07fb5-328e-4942-9c4a-96c526e8050e
2024-04-04T20:49:07.981,0.08,22.2,958b95e7-1eb4-43e2-869e-48718dd84c19
2024-04-04T21:58:36.907,0.08,22.2,904469b3-69aa-4be8-87f1-ded65b4720f9
2024-04-04T23:34:52.888,0.08,22.2,1e91c52c-f0ee-4ed4-b4ad-0f6b288dc603
2024-04-05T08:42:20.113,0.08,22.2,03388a53-4b89-41d3-be0e-34e8d1296d21
2024-04-05T08:56:07.664,0.08,22.2,54fafc61-5910-4176-9a18-e5bb52a1e539
2024-04-05T10:52:23.098,0.08,22.2,a9086df9-7e8e-4cab-82d7-272c0121f925
2024-04-05T11:16:19.366,0.08,22.2,e9a31aef-cb02-4dc7-a462-d7860f866938
2024-04-05T11:42:00,0.08,22.2,a6fc4f04-c38f-40a7-8a2e-75365d87a9d4
2024-04-05T13:00:35.342,0.08,22.2,ef56a9dc-e83a-426d-90d1-d02482af5980
2024-04-05T14:10:01.909,0.08,22.2,95443468-7791-4176-b081-8670f8962bdb
2024-04-05T14:36:02.209,0.08,22.2,71ba2c15-9cd8-4b50-8469-b5bf29cb24a1
2024-04-05T16:03:47.213,0.08,22.2,c14ddc3e-06f6-49d2-bd4e-890b6271a398
2024-04-05T16:42:44.377,0.08,22.2,3f4b0044-940a-4e77-9784-5739a7644ca1
2024-04-05T18:39:25.206,0.08,22.2,6a171e1a-1dfb-4abb-b122-b4249b1b7ff3
2024-04-05T18:51:15.639,0.08,22.2,01ae25e0-aba5-487c-b191-d3ce3827ce98
2024-04-05T21:12:20.468,0.3,22.2,b586f033-8185-4269-baed-d839970fa6a1
2024-04-05T23:10:05.078,0.08,22.2,46eb1fa4-a5db-4651-bb8b-906d251645d7
2024-04-06T09:49:23.705,0.08,22.2,5db8fc64-0ea2-4127-8c06-6f32038389c9
2024-04-06T10:20:14.924,0.08,22.2,37611470-7294-45c7-96a2-f78627ec1c21
2024-04-06T10:50:53.249,0.08,22.2,53931a82-77d1-4a3a-8bac-1b0be1c1ec25
2024-04-06T12:12:08.721,0.08,22.2,37496c4b-1312-47ef-ad4a-3a8b3e2ccf31
2024-04-06T12:23:32.346,0.08,22.2,7a7a5d37-6577-4452-85fb-27566ed7ed3b
2024-04-06T13:35:55.136,0.08,22.2,c2380e1e-deab-4ce4-a8a9-9f6bb81a3609
2024-04-06T13:51:22.48,0.08,22.2,ea85ddee-36cd-46ad-8269-54bbee8d685f
2024-04-06T14:18:50.198,0.08,22.2,229f8f37-8923-46bb-be8a-fee3e446b6ee
2024-04-06T15:28:38.901,0.08,22.2,2e28be7b-6dfe-4ab0-bb42-81b1653296a0
2024-04-06T15:53:59.962,0.08,22.2,fc07e053-8cb5-45c4-81bc-f86a8a020830
2024-04-06T16:26:50.392,0.08,22.2,b33c2e72-9116-496c-9cb5-3dd7428a8636
2024-04-06T18:59:17.16,0.08,22.2,b8fded6d-7bd7-46bd-a55c-117d15b6e24a
2024-04-06T19:19:43.924,0.08,22.2,88b1da20-4efd-4fbb-838a-7a2ff2bcff99
2024-04-06T19:46:19.052,0.08,22.2,b0918408-3eb1-4401-a513-88ec5a6bc601
2024-04-06T20:16:47.996,0.08,22.2,5c456430-abb4-4b9f-a26e-63fa7950d272
2024-04-06T21:28:00,0.08,22.2,867d869d-030a-48fa-b52a-d147cfe6fbb7
2024-04-06T22:45:00,0.08,22.2,5c316e02-12be-4388-b087-0624c4074f9c
2024-04-07T09:23:35.182,0.08,22.2,b7a5f1dd-d5e8-4c18-960b-fe47e00b1838
2024-04-07T09:37:28.535,0.08,22.2,f1cb900b-b150-49ae-a0c6-ebfec2c38e8d
2024-04-07T10:04:32.237,0.08,22.2,982965bf-d0c9-42a9-8f74-d07c84e0faf0
